order_id,order_date,platform,shop_name,region,category,sku,unit_price,quantity,gross_amount,discount_amount,refund_amount,net_amount,gross_profit,payment_channel,warehouse,traffic_source,promo_type,customer_type,inventory_before,inventory_after,inventory_risk,anomaly_note
ORD202602250038,2026-02-25,Tmall,天猫旗舰店,华东,智能家居,RGB氛围灯条,99,2,198,29.39,144.81,33.8,-42.2,支付宝,西南仓,搜索,平台大促,会员,113,111,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202601170039,2026-01-17,Douyin,抖音直播间,华南,耳机,主动降噪蓝牙耳机Pro,329,1,329,25.18,0.0,313.82,151.82,支付宝,西南仓,达人直播,新品上新,新客,39,38,healthy,
ORD202603270040,2026-03-27,Pinduoduo,拼多多店铺,华东,平板周边,手写笔Pro,229,2,458,77.01,0.0,380.99,186.99,支付宝,华东仓,自然流量,清仓促销,价格敏感,42,40,healthy,
ORD202602090041,2026-02-09,JD,京东自营店,华南,耳机,主动降噪蓝牙耳机Pro,329,2,658,32.38,0.0,625.62,301.62,微信支付,华北仓,企业团购,会员日,老客,25,23,healthy,
ORD202603170042,2026-03-17,Douyin,抖音直播间,华南,手机配件,磁吸无线充15W,159,1,159,26.77,0.0,132.23,69.23,京东支付,华东仓,短视频种草,日常销售,冲动购,25,24,healthy,
ORD202603200043,2026-03-20,Pinduoduo,拼多多店铺,华北,耳机,运动耳机Lite,199,1,199,39.78,0.0,159.22,73.22,支付宝,华东仓,活动会场,直播专场,新客,57,56,healthy,
ORD202603090044,2026-03-09,Douyin,抖音直播间,西南,手机配件,GaN氮化镓快充头30W,119,3,357,63.8,0.0,303.2,168.2,支付宝,华南仓,达人直播,日常销售,冲动购,107,104,healthy,
ORD202603030045,2026-03-03,Douyin,抖音直播间,华中,手机配件,磁吸无线充15W,159,1,159,21.56,0.0,137.44,74.44,支付宝,华东仓,达人直播,平台大促,粉丝,41,40,healthy,
ORD202601160046,2026-01-16,Pinduoduo,拼多多店铺,华东,智能家居,智能插座双口版,69,2,138,22.86,0.0,115.14,61.14,云闪付,华南仓,活动会场,日常销售,新客,86,84,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202601290047,2026-01-29,JD,京东自营店,华南,手机配件,PD快充头20W,79,2,158,11.22,0.0,146.78,84.78,微信支付,华南仓,搜索,平台大促,企业客户,38,36,healthy,
ORD202603050048,2026-03-05,WeChatMall,微信小程序商城,华南,手机配件,磁吸无线充15W,159,1,159,6.38,0.0,158.62,95.62,微信支付,华东仓,社群团购,平台大促,会员,82,81,healthy,
ORD202603130049,2026-03-13,Kuaishou,快手品牌号,华北,手机配件,磁吸无线充15W,159,3,477,53.56,0.0,431.44,242.44,支付宝,华东仓,粉丝群,日常销售,新客,91,88,healthy,
ORD202601120050,2026-01-12,Pinduoduo,拼多多店铺,西南,智能家居,RGB氛围灯条,99,3,297,74.75,0.0,228.25,114.25,微信支付,华北仓,活动会场,直播专场,价格敏感,25,22,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202603180051,2026-03-18,Pinduoduo,拼多多店铺,华东,耳机,主动降噪蓝牙耳机Pro,329,3,987,215.81,0.0,771.19,285.19,京东支付,华北仓,自然流量,平台大促,价格敏感,74,71,healthy,
ORD202601070052,2026-01-07,Tmall,天猫旗舰店,华北,耳机,主动降噪蓝牙耳机Pro,329,1,329,27.13,0.0,307.87,145.87,京东支付,华东仓,搜索,会员日,会员,87,86,healthy,
ORD202603090053,2026-03-09,JD,京东自营店,华东,耳机,主动降噪蓝牙耳机Pro,329,2,658,14.51,0.0,651.49,327.49,云闪付,华东仓,搜索,日常销售,新客,90,88,healthy,
ORD202601200054,2026-01-20,Pinduoduo,拼多多店铺,东北,手机配件,PD快充头20W,79,2,158,27.28,0.0,136.72,74.72,微信支付,华东仓,自然流量,会员日,新客,70,68,healthy,
ORD202602260055,2026-02-26,WeChatMall,微信小程序商城,华南,手机配件,磁吸无线充15W,159,2,318,17.39,0.0,300.61,174.61,京东支付,西南仓,社群团购,清仓促销,老客,110,108,healthy,
ORD202602120056,2026-02-12,Pinduoduo,拼多多店铺,华中,智能家居,智能摄像头云台版,259,3,777,109.1,517.23,150.67,-212.33,京东支付,华北仓,活动会场,直播专场,老客,38,35,overstock_risk,活动后退款偏高，需复盘详情页和售后承诺
ORD202602100057,2026-02-10,Tmall,天猫旗舰店,华南,手机配件,PD快充头20W,79,3,237,24.41,0.0,222.59,129.59,云闪付,华东仓,店播,日常销售,老客,74,71,healthy,
ORD202603030058,2026-03-03,Tmall,天猫旗舰店,华中,手机配件,PD快充头20W,79,4,316,32.72,0.0,283.28,159.28,支付宝,西南仓,店播,日常销售,老客,115,111,healthy,
ORD202602080059,2026-02-08,Douyin,抖音直播间,华东,平板周边,手写笔Pro,229,2,458,40.6,0.0,425.4,231.4,云闪付,华南仓,达人直播,日常销售,粉丝,84,82,healthy,
ORD202603150060,2026-03-15,JD,京东自营店,华中,平板周边,手写笔Pro,229,1,229,5.98,0.0,223.02,126.02,微信支付,华南仓,站内推荐,日常销售,老客,114,113,healthy,
ORD202602270061,2026-02-27,Kuaishou,快手品牌号,华北,耳机,运动耳机Lite,199,3,597,78.82,0.0,526.18,268.18,京东支付,华南仓,主播连麦,直播专场,粉丝,51,48,healthy,直播专场拉动单笔多件成交
ORD202603080062,2026-03-08,JD,京东自营店,华北,耳机,开放式耳夹耳机Air,269,1,269,20.48,0.0,254.52,137.52,支付宝,华南仓,站内推荐,日常销售,企业客户,108,107,healthy,
ORD202603240063,2026-03-24,WeChatMall,微信小程序商城,华南,平板周边,折叠支架Max,129,2,258,15.78,0.0,242.22,138.22,支付宝,西南仓,私域复购,日常销售,老客,69,67,healthy,
ORD202602270064,2026-02-27,JD,京东自营店,华东,平板周边,手写笔Pro,229,1,229,14.34,0.0,222.66,125.66,支付宝,华南仓,企业团购,直播专场,老客,52,51,healthy,
ORD202602220065,2026-02-22,Pinduoduo,拼多多店铺,华东,耳机,主动降噪蓝牙耳机Pro,329,1,329,47.53,0.0,291.47,129.47,支付宝,西南仓,自然流量,会员日,新客,66,65,healthy,
ORD202602210066,2026-02-21,Douyin,抖音直播间,华中,耳机,主动降噪蓝牙耳机Pro,329,1,329,32.78,0.0,296.22,134.22,云闪付,华南仓,短视频种草,新品上新,新客,118,117,healthy,
ORD202603120067,2026-03-12,Tmall,天猫旗舰店,华中,耳机,主动降噪蓝牙耳机Pro,329,2,658,48.97,0.0,609.03,285.03,支付宝,华南仓,搜索,新品上新,新客,27,25,healthy,
ORD202601280068,2026-01-28,JD,京东自营店,东北,平板周边,手写笔Pro,229,2,458,34.75,0.0,433.25,239.25,微信支付,华北仓,企业团购,日常销售,新客,108,106,healthy,
ORD202602020069,2026-02-02,Tmall,天猫旗舰店,华东,智能家居,智能插座双口版,69,1,69,7.81,0.0,67.19,40.19,云闪付,西南仓,搜索,新品上新,新客,71,70,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202602120070,2026-02-12,Douyin,抖音直播间,华中,耳机,主动降噪蓝牙耳机Pro,329,1,329,27.91,0.0,311.09,149.09,京东支付,华东仓,达人直播,直播专场,冲动购,99,98,healthy,
ORD202602170071,2026-02-17,JD,京东自营店,华东,平板周边,手写笔Pro,229,1,229,13.76,0.0,225.24,128.24,微信支付,华东仓,企业团购,会员日,老客,66,65,healthy,
ORD202601310072,2026-01-31,JD,京东自营店,华南,耳机,开放式耳夹耳机Air,269,1,269,28.79,0.0,240.21,123.21,云闪付,华东仓,站内推荐,平台大促,老客,97,96,healthy,
ORD202602040073,2026-02-04,Tmall,天猫旗舰店,华南,智能穿戴,儿童手表Lite,499,1,499,44.56,0.0,454.44,218.44,云闪付,华东仓,搜索,日常销售,新客,91,90,healthy,
ORD202601290074,2026-01-29,Douyin,抖音直播间,华北,电脑外设,USB-C扩展坞7合1,239,4,956,160.61,0.0,803.39,355.39,微信支付,华东仓,短视频种草,新品上新,新客,58,54,healthy,
ORD202601130075,2026-01-13,Tmall,天猫旗舰店,西南,手机配件,磁吸无线充15W,159,3,477,69.42,0.0,415.58,226.58,微信支付,华东仓,会员复购,平台大促,新客,60,57,healthy,
ORD202603020076,2026-03-02,Tmall,天猫旗舰店,华南,手机配件,GaN氮化镓快充头30W,119,1,119,7.11,0.0,111.89,66.89,支付宝,华东仓,店播,日常销售,老客,119,118,healthy,
ORD202601130077,2026-01-13,Kuaishou,快手品牌号,华北,耳机,开放式耳夹耳机Air,269,3,807,77.26,0.0,739.74,388.74,微信支付,西南仓,主播连麦,直播专场,新客,48,45,healthy,直播专场拉动单笔多件成交
ORD202601240078,2026-01-24,JD,京东自营店,华东,智能家居,智能摄像头云台版,259,1,259,9.39,0.0,249.61,128.61,京东支付,华南仓,企业团购,日常销售,老客,99,98,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202603270079,2026-03-27,Douyin,抖音直播间,华南,平板周边,折叠支架Max,129,2,258,44.56,0.0,213.44,109.44,支付宝,华东仓,短视频种草,日常销售,粉丝,113,111,healthy,
ORD202603010080,2026-03-01,JD,京东自营店,华北,手机配件,PD快充头20W,79,3,237,20.32,0.0,226.68,133.68,微信支付,华东仓,企业团购,平台大促,企业客户,77,74,healthy,
ORD202602250081,2026-02-25,Pinduoduo,拼多多店铺,华中,平板周边,磁吸键盘Air,349,2,698,161.39,0.0,536.61,212.61,云闪付,华东仓,自然流量,日常销售,老客,24,22,healthy,
ORD202603020082,2026-03-02,Douyin,抖音直播间,华东,耳机,主动降噪蓝牙耳机Pro,329,1,329,67.25,0.0,267.75,105.75,微信支付,华北仓,短视频种草,平台大促,新客,43,42,healthy,
ORD202602240083,2026-02-24,Douyin,抖音直播间,华南,耳机,主动降噪蓝牙耳机Pro,329,2,658,63.41,0.0,604.59,280.59,京东支付,华东仓,短视频种草,直播专场,冲动购,55,53,healthy,
ORD202603180084,2026-03-18,Tmall,天猫旗舰店,华南,耳机,开放式耳夹耳机Air,269,2,538,50.2,0.0,487.8,253.8,微信支付,华北仓,搜索,会员日,会员,20,18,healthy,
ORD202601120085,2026-01-12,Douyin,抖音直播间,西南,耳机,开放式耳夹耳机Air,269,2,538,94.69,0.0,443.31,209.31,支付宝,华南仓,信息流,直播专场,冲动购,70,68,healthy,
ORD202603140086,2026-03-14,Pinduoduo,拼多多店铺,华北,智能家居,智能插座双口版,69,6,414,70.94,0.0,351.06,189.06,微信支付,西南仓,自然流量,新品上新,价格敏感,24,18,healthy,
ORD202602260087,2026-02-26,Douyin,抖音直播间,西南,智能穿戴,运动手表Lite,399,2,798,64.14,0.0,733.86,357.86,支付宝,华北仓,短视频种草,平台大促,新客,59,57,healthy,
ORD202603200088,2026-03-20,Tmall,天猫旗舰店,东北,耳机,开放式耳夹耳机Air,269,1,269,30.17,0.0,238.83,121.83,微信支付,华南仓,店播,日常销售,老客,113,112,healthy,
ORD202602220089,2026-02-22,Douyin,抖音直播间,西南,智能穿戴,儿童手表Lite,499,1,499,84.22,0.0,420.78,184.78,京东支付,华南仓,短视频种草,清仓促销,新客,27,26,healthy,
ORD202602120090,2026-02-12,Pinduoduo,拼多多店铺,华中,手机配件,GaN氮化镓快充头30W,119,2,238,33.11,0.0,214.89,124.89,京东支付,华北仓,活动会场,日常销售,新客,43,41,healthy,
ORD202602130091,2026-02-13,JD,京东自营店,华东,耳机,主动降噪蓝牙耳机Pro,329,1,329,22.8,0.0,316.2,154.2,微信支付,华东仓,站内推荐,会员日,企业客户,80,79,healthy,
ORD202603290092,2026-03-29,Kuaishou,快手品牌号,华南,智能穿戴,运动手表Lite,399,2,798,113.45,0.0,684.55,308.55,微信支付,华东仓,主播连麦,新品上新,新客,94,92,healthy,
ORD202602110093,2026-02-11,Pinduoduo,拼多多店铺,西南,手机配件,GaN氮化镓快充头30W,119,3,357,75.74,0.0,289.26,154.26,支付宝,华东仓,活动会场,日常销售,价格敏感,77,74,healthy,
ORD202602260094,2026-02-26,JD,京东自营店,华中,智能穿戴,儿童手表Lite,499,1,499,45.28,0.0,453.72,217.72,微信支付,华东仓,站内推荐,平台大促,老客,67,66,healthy,
ORD202603050095,2026-03-05,JD,京东自营店,西南,智能穿戴,旗舰手表X1,899,1,899,51.9,0.0,857.1,405.1,云闪付,华东仓,企业团购,平台大促,企业客户,87,86,healthy,
ORD202601240096,2026-01-24,Douyin,抖音直播间,华东,智能家居,智能摄像头云台版,259,1,259,29.87,0.0,235.13,114.13,微信支付,华南仓,短视频种草,日常销售,冲动购,46,45,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202601200097,2026-01-20,Kuaishou,快手品牌号,华东,智能穿戴,旗舰手表X1,899,1,899,132.98,0.0,774.02,322.02,微信支付,华东仓,主播连麦,日常销售,新客,53,52,healthy,
ORD202602080098,2026-02-08,JD,京东自营店,华北,平板周边,折叠支架Max,129,1,129,8.76,33.43,86.81,34.81,京东支付,华北仓,站内推荐,新品上新,企业客户,89,88,healthy,
ORD202603040099,2026-03-04,Tmall,天猫旗舰店,华中,手机配件,编织数据线Type-C 2m,49,1,49,4.33,0.0,44.67,28.67,微信支付,华南仓,搜索,日常销售,老客,88,87,healthy,
ORD202601130100,2026-01-13,JD,京东自营店,华中,智能穿戴,儿童手表Lite,499,1,499,36.7,0.0,462.3,226.3,京东支付,西南仓,站内推荐,会员日,老客,94,93,healthy,
ORD202603070101,2026-03-07,Pinduoduo,拼多多店铺,华东,平板周边,磁吸键盘Air,349,1,349,54.25,0.0,294.75,132.75,支付宝,华南仓,活动会场,日常销售,新客,28,27,healthy,
ORD202601300102,2026-01-30,Douyin,抖音直播间,西南,耳机,主动降噪蓝牙耳机Pro,329,2,658,112.36,0.0,545.64,221.64,支付宝,华南仓,达人直播,日常销售,冲动购,50,48,healthy,
ORD202603010103,2026-03-01,WeChatMall,微信小程序商城,华东,智能家居,智能插座双口版,69,4,276,19.88,0.0,256.12,148.12,微信支付,华东仓,朋友圈,日常销售,老客,94,90,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202602220104,2026-02-22,Douyin,抖音直播间,华南,智能家居,智能插座双口版,69,3,207,31.8,0.0,183.2,102.2,微信支付,西南仓,信息流,日常销售,新客,62,59,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202603310105,2026-03-31,Douyin,抖音直播间,华南,手机配件,PD快充头20W,79,3,237,42.98,0.0,194.02,101.02,支付宝,华北仓,短视频种草,平台大促,新客,119,116,healthy,
ORD202601040106,2026-01-04,JD,京东自营店,西南,智能家居,智能门锁青春版,1299,2,2598,165.46,0.0,2442.54,1006.54,支付宝,华北仓,企业团购,平台大促,企业客户,74,72,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202603080107,2026-03-08,Douyin,抖音直播间,华东,智能家居,RGB氛围灯条,99,2,198,28.65,0.0,177.35,101.35,微信支付,华北仓,信息流,新品上新,新客,47,45,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202602090108,2026-02-09,Douyin,抖音直播间,华南,耳机,主动降噪蓝牙耳机Pro,329,1,329,17.59,0.0,319.41,157.41,支付宝,西南仓,达人直播,日常销售,粉丝,87,86,healthy,
ORD202603240109,2026-03-24,Tmall,天猫旗舰店,华中,手机配件,磁吸无线充15W,159,3,477,50.35,0.0,426.65,237.65,微信支付,华东仓,店播,日常销售,新客,33,30,healthy,
ORD202603220110,2026-03-22,JD,京东自营店,西南,电脑外设,USB-C扩展坞7合1,239,2,478,33.94,0.0,444.06,220.06,微信支付,华南仓,站内推荐,日常销售,老客,111,109,healthy,
ORD202602100111,2026-02-10,Douyin,抖音直播间,华中,智能家居,智能门锁青春版,1299,2,2598,461.45,0.0,2136.55,700.55,京东支付,华南仓,短视频种草,日常销售,新客,31,29,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202603070112,2026-03-07,Douyin,抖音直播间,华中,智能穿戴,旗舰手表X1,899,1,899,120.49,0.0,778.51,326.51,微信支付,华东仓,短视频种草,直播专场,新客,100,99,healthy,
ORD202603020113,2026-03-02,Tmall,天猫旗舰店,西南,手机配件,编织数据线Type-C 2m,49,1,49,5.89,12.04,37.07,21.07,支付宝,华南仓,店播,直播专场,老客,52,51,healthy,
ORD202603020114,2026-03-02,Douyin,抖音直播间,华南,耳机,开放式耳夹耳机Air,269,2,538,56.61,0.0,491.39,257.39,微信支付,西南仓,短视频种草,日常销售,粉丝,57,55,healthy,
ORD202601240115,2026-01-24,Kuaishou,快手品牌号,华中,平板周边,折叠支架Max,129,2,258,41.25,0.0,216.75,112.75,支付宝,华南仓,主播连麦,日常销售,粉丝,88,86,healthy,
ORD202603250116,2026-03-25,Douyin,抖音直播间,西南,智能穿戴,运动手表Lite,399,1,399,45.21,0.0,359.79,171.79,支付宝,西南仓,信息流,日常销售,粉丝,93,92,healthy,
ORD202602030117,2026-02-03,Kuaishou,快手品牌号,东北,智能穿戴,儿童手表Lite,499,1,499,48.58,0.0,458.42,222.42,支付宝,华南仓,粉丝群,日常销售,新客,94,93,healthy,
ORD202601260118,2026-01-26,Tmall,天猫旗舰店,华东,智能穿戴,旗舰手表X1,899,1,899,84.86,0.0,814.14,362.14,微信支付,华北仓,会员复购,日常销售,老客,88,87,healthy,
ORD202601270119,2026-01-27,Douyin,抖音直播间,华南,耳机,主动降噪蓝牙耳机Pro,329,4,1316,78.65,0.0,1243.35,595.35,微信支付,华南仓,达人直播,日常销售,新客,41,37,healthy,
ORD202601030120,2026-01-03,JD,京东自营店,华南,耳机,主动降噪蓝牙耳机Pro,329,2,658,33.25,0.0,634.75,310.75,支付宝,华东仓,企业团购,日常销售,新客,36,34,healthy,
ORD202602140121,2026-02-14,Kuaishou,快手品牌号,华中,智能家居,智能插座双口版,69,2,138,14.46,0.0,131.54,77.54,微信支付,华北仓,短视频挂车,清仓促销,粉丝,99,97,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202603210122,2026-03-21,Kuaishou,快手品牌号,西南,电脑外设,USB-C扩展坞7合1,239,1,239,36.62,0.0,208.38,96.38,支付宝,华东仓,主播连麦,清仓促销,新客,50,49,healthy,
ORD202602260123,2026-02-26,WeChatMall,微信小程序商城,华南,智能家居,RGB氛围灯条,99,3,297,16.87,0.0,288.13,174.13,支付宝,华东仓,社群团购,日常销售,老客,54,51,overstock_risk,智能家居尾货周转偏慢，建议控货清仓
ORD202602160124,2026-02-16,WeChatMall,微信小程序商城,西南,耳机,运动耳机Lite,199,3,597,28.06,0.0,574.94,316.94,微信支付,华东仓,社群团购,平台大促,会员,118,115,healthy,
ORD202603090125,2026-03-09,Tmall,天猫旗舰店,华南,手机配件,磁吸无线充15W,159,1,159,16.69,0.0,150.31,87.31,微信支付,西南仓,店播,新品上新,老客,36,35,healthy,
ORD202603250126,2026-03-25,WeChatMall,微信小程序商城,华北,智能穿戴,运动手表Lite,399,1,399,32.08,0.0,376.92,188.92,微信支付,华南仓,朋友圈,会员日,会员,20,19,healthy,
ORD202601030127,2026-01-03,Douyin,抖音直播间,西南,电脑外设,USB-C扩展坞7合1,239,3,717,127.27,0.0,589.73,253.73,微信支付,华东仓,短视频种草,新品上新,冲动购,52,49,healthy,
ORD202601090128,2026-01-09,Kuaishou,快手品牌号,华南,耳机,运动耳机Lite,199,3,597,88.54,0.0,508.46,250.46,微信支付,华北仓,短视频挂车,日常销售,复购客,95,92,healthy,
ORD202602020129,2026-02-02,Tmall,天猫旗舰店,华中,耳机,开放式耳夹耳机Air,269,1,269,13.23,0.0,265.77,148.77,微信支付,华南仓,店播,日常销售,老客,39,38,healthy,
