snapshot_date,platform_focus,warehouse,category,sku,on_hand,reserved,available,inbound_7d,safety_stock,days_of_cover,inventory_index,replenishment_priority,risk_flag,recommendation
2026-03-31,Tmall,华北仓,平板周边,磁吸键盘Air,126,20,106,158,73,132.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,西南仓,平板周边,磁吸键盘Air,259,17,242,149,114,302.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华东仓,智能家居,智能摄像头云台版,381,24,357,17,104,411.9,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华南仓,智能家居,智能摄像头云台版,245,34,211,82,132,243.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华北仓,智能家居,智能摄像头云台版,207,35,172,69,101,198.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,西南仓,智能家居,智能摄像头云台版,452,47,405,141,68,467.3,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,电脑外设,USB-C扩展坞7合1,286,39,247,14,73,304.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,电脑外设,USB-C扩展坞7合1,320,44,276,51,121,340.3,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,电脑外设,USB-C扩展坞7合1,240,37,203,104,89,250.3,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,电脑外设,USB-C扩展坞7合1,149,28,121,60,110,149.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华东仓,平板周边,手写笔Pro,383,52,331,90,66,392.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华南仓,平板周边,手写笔Pro,114,21,93,9,70,110.1,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华北仓,平板周边,手写笔Pro,153,32,121,175,114,143.3,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,西南仓,平板周边,手写笔Pro,388,22,366,130,65,433.4,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,手机配件,磁吸无线充15W,345,38,307,160,68,263.1,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,手机配件,磁吸无线充15W,368,28,340,5,110,291.4,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,手机配件,磁吸无线充15W,284,27,257,55,58,220.3,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,手机配件,磁吸无线充15W,134,9,125,67,62,107.1,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华东仓,电脑外设,机械键盘84配列,159,9,150,127,87,187.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华南仓,电脑外设,机械键盘84配列,320,31,289,84,78,361.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华北仓,电脑外设,机械键盘84配列,89,43,46,158,139,57.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,西南仓,电脑外设,机械键盘84配列,385,18,367,141,58,458.8,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,手机配件,PD快充头20W,368,55,313,97,92,190.3,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,手机配件,PD快充头20W,344,38,306,132,83,186.1,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,手机配件,PD快充头20W,255,15,240,160,73,145.9,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,手机配件,PD快充头20W,136,32,104,170,128,63.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华东仓,智能家居,智能插座双口版,194,36,158,68,64,87.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华南仓,智能家居,智能插座双口版,289,20,269,0,104,148.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华北仓,智能家居,智能插座双口版,290,43,247,95,96,136.4,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,西南仓,智能家居,智能插座双口版,275,32,243,107,70,134.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,手机配件,GaN氮化镓快充头30W,390,10,380,126,91,349.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,手机配件,GaN氮化镓快充头30W,276,51,225,45,120,206.6,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,手机配件,GaN氮化镓快充头30W,413,27,386,88,79,354.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,手机配件,GaN氮化镓快充头30W,363,42,321,87,64,294.8,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华东仓,电脑外设,无线鼠标静音版,276,46,230,137,97,276.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华南仓,电脑外设,无线鼠标静音版,145,23,122,35,70,146.4,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华北仓,电脑外设,无线鼠标静音版,323,11,312,117,78,374.4,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,西南仓,电脑外设,无线鼠标静音版,222,21,201,55,95,241.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华东仓,智能家居,RGB氛围灯条,503,45,458,27,129,448.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华南仓,智能家居,RGB氛围灯条,411,54,357,14,117,349.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,华北仓,智能家居,RGB氛围灯条,190,41,149,153,107,145.8,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Tmall,西南仓,智能家居,RGB氛围灯条,244,17,227,115,88,222.1,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华东仓,平板周边,折叠支架Max,138,49,89,125,101,111.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华南仓,平板周边,折叠支架Max,299,21,278,170,99,347.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,华北仓,平板周边,折叠支架Max,353,55,298,153,133,372.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,JD,西南仓,平板周边,折叠支架Max,91,46,45,98,120,56.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华东仓,手机配件,编织数据线Type-C 2m,222,44,178,169,133,219.5,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华南仓,手机配件,编织数据线Type-C 2m,363,41,322,18,57,397.0,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,华北仓,手机配件,编织数据线Type-C 2m,226,15,211,131,65,260.1,1.55,P2,overstock_risk,暂停采购并安排清仓活动
2026-03-31,Douyin,西南仓,手机配件,编织数据线Type-C 2m,158,11,147,179,112,181.2,1.55,P2,overstock_risk,暂停采购并安排清仓活动
